account_name,nsbi_sector,deal_type,nsbi_financial_contribution,city,nsbi_county,postal_code,fiscal_year,longitude,latitude,coordinates
CBCL Limited,Energy,Export Growth Program,14820,halifax,Halifax Regional Municipality,B3J2R7,2018 - 2019,-63.572435,44.651581,POINT (-63.572435 44.651581)
Clerisy Management Group Limited,Film Production,Export Growth Program,5500,dartmouth,Halifax Regional Municipality,B3B1W9,2018 - 2019,-63.579685,44.69696,POINT (-63.579685 44.69696)
Cribcut,ICT (includes Digital Media),Export Growth Program,9375,halifax,Halifax Regional Municipality,B3J3R7,2018 - 2019,-63.57614729,44.65208895,POINT (-63.57614729 44.65208895)
Current Studios Inc,ICT (includes Digital Media),Export Growth Program,15768,halifax,Halifax Regional Municipality,B3J3X8,2018 - 2019,-63.576767,44.64669,POINT (-63.576767 44.64669)
Dugo Systems Inc,ICT (includes Digital Media),Export Growth Program,3600,halifax,Halifax Regional Municipality,B3J3K5,2018 - 2019,-63.572554,44.644489,POINT (-63.572554 44.644489)
East Coast School of Languages (ECSL),Business Services,Export Growth Program,4519,halifax,Halifax Regional Municipality,B3J1V6,2018 - 2019,-63.571891,44.646015,POINT (-63.571891 44.646015)
Fit First Holdings Inc.,Business Services,Export Growth Program,4400,dartmouth,Halifax Regional Municipality,B3B1X2,2018 - 2019,-63.595848,44.710189,POINT (-63.595848 44.710189)
Iris Booth Incorporated,Business Services,Export Growth Program,11041,halifax,Halifax Regional Municipality,B3K2Z8,2018 - 2019,-63.581653,44.651755,POINT (-63.581653 44.651755)
Lorax Systems Inc,Energy,Export Growth Program,10024,dartmouth,Halifax Regional Municipality,B3B1S8,2018 - 2019,-63.588536,44.700833,POINT (-63.588536 44.700833)
Retail Deep,ICT (includes Digital Media),Export Growth Program,3675,halifax,Halifax Regional Municipality,B3J3K5,2018 - 2019,-63.572554,44.644489,POINT (-63.572554 44.644489)
Tucan Olive Oil Company Ltd,Agri-food,Export Growth Program,2699,dartmouth,Halifax Regional Municipality,B2W2P8,2018 - 2019,-63.519127,44.672757,POINT (-63.519127 44.672757)
4Deep Inwater Imaging,Oceans Technology,Export Growth Program,15000,halifax,Halifax Regional Municipality,B4B1G2,2018 - 2019,-63.741086,44.724533,POINT (-63.741086 44.724533)
Arcadia Entertainment Inc.,Film Production,Export Growth Program,10109,halifax,Halifax Regional Municipality,B3L1A9,2018 - 2019,-63.601752,44.644087,POINT (-63.601752 44.644087)
