deployment_id,receiver_serial_number,receiver_reference_type,receiver_reference_id,receiver_manufacturer,receiver_model
ASF-CB3-VR2-4290-2010,4290,ManmadePlatform,ASF_ASF-CB3,VEMCO,VR2
ASF-CB4-VR2-4293-2010,4293,ManmadePlatform,ASF_ASF-CB4,VEMCO,VR2
ASF-CB5-VR2-4296-2009,4296,ManmadePlatform,ASF_ASF-CB5,VEMCO,VR2
ASF-CB5-VR2-4296-2010,4296,ManmadePlatform,ASF_ASF-CB5,VEMCO,VR2
ASF-CB6-VR2-4301-2009,4301,ManmadePlatform,ASF_ASF-CB6,VEMCO,VR2
ASF-CB6-VR2-4301-2010,4301,ManmadePlatform,ASF_ASF-CB6,VEMCO,VR2
ASF-CB7-VR2-4303-2009,4303,ManmadePlatform,ASF_ASF-CB7,VEMCO,VR2
ASF-CB9-VR2-4313-2009,4313,ManmadePlatform,ASF_ASF-CB9,VEMCO,VR2
ASF-Chaleur Bay 10-VR2-5018-2005,5018,ManmadePlatform,ASF_ASF-Chaleur Bay 10,VEMCO,VR2
ASF-Chaleur Bay 10-VR2-5018-2006,5018,ManmadePlatform,ASF_ASF-Chaleur Bay 10,VEMCO,VR2
ASF-Chaleur Bay 11-VR2-5019-2005,5019,ManmadePlatform,ASF_ASF-Chaleur Bay 11,VEMCO,VR2
ASF-Chaleur Bay 11-VR2-5019-2006,5019,ManmadePlatform,ASF_ASF-Chaleur Bay 11,VEMCO,VR2
ASF-Chaleur Bay 12-VR2-5021-2006,5021,ManmadePlatform,ASF_ASF-Chaleur Bay 12,VEMCO,VR2
ASF-Chaleur Bay 13-VR2-5022-2006,5022,ManmadePlatform,ASF_ASF-Chaleur Bay 13,VEMCO,VR2
ASF-Chaleur Bay 14-VR2-5022-2005,5022,ManmadePlatform,ASF_ASF-Chaleur Bay 14,VEMCO,VR2
ASF-Chaleur Bay 14-VR2-5023-2006,5023,ManmadePlatform,ASF_ASF-Chaleur Bay 14,VEMCO,VR2
ASF-Chaleur Bay 15-VR2-5023-2005,5023,ManmadePlatform,ASF_ASF-Chaleur Bay 15,VEMCO,VR2
ASF-Chaleur Bay 15-VR2-5024-2006,5024,ManmadePlatform,ASF_ASF-Chaleur Bay 15,VEMCO,VR2
ASF-Chaleur Bay 16-VR2-5024-2005,5024,ManmadePlatform,ASF_ASF-Chaleur Bay 16,VEMCO,VR2
